# 해법 천재 문학 - 현대시 수록작 목록 (OCR 추출, 편성 시 오타 교정 필요)
# 출처: 천재교육 해법문학 (저작권 자료 — 해설 본문 복제 금지, 작품 선정/메타 참고용)
# 총 245편 / 6개 시대 구간

## I. 개화기·1910년대
001	애국하는노래	이필균
002	동심가	이중원
003	경부텰도노래최남선	
004	해에게서 소년에게	최남선

## II. 1920년대~광복 이전
005	가는 길	김소월
006	접동새	김소월
007	먼 후일	김소월
008	산유화	김소월
009	진달카똧	김소월
010	초혼	김소월
011	봄은 고양이로다	!
012	님의 침묵	한용운
013	수의 비밀	한용운
014	빼앗긴 들에도 봄은 오는가	이상화
015	향수	정지용
016	유리창 11 정지용	
017	춘설	!정지용
018	비 1 정지용	
019	백록담 1 정지용 72 •	
020	거울 1 이상	
021	오감도-시제1호 1 이상	
022	가정 1 이상	
023	모란이 피기까지는 1 김영랑	
024	여위%족백석	
025	모닥불	!
026	백화	_
027	흰 바람벽이 있어	백석
028	국수	백석
029	벽공	이희승
030	오랑캐꽃	이용악
031	청포도	이육사
032	절정	이육사
033	광야	이육사
034	꽃	이육사
035	윤사월	박목월
036	자화상	윤동주
037	별 헤는밤 윤동주	
038	서시	윤동주
039	쉽게 씌어진 시	윤동주
040	참회록	윤동주
041	사랑하는까닭	한용운
042	알수 없어요	한용운
043	오-매단풍들것네	김영랑
044	오월	김영랑
045	고향	정지용
046	호수 11 정지용	
047	인동차 1 정지용	
048	남으로 창을 내겠소 1 김상용	
049	고향 1 백석	
050	깃발 1 유치환	
051	여승	!
052	나와 나타샤와 횐 당나귀 1백석	
053	생명의 서 1 유치환	
054	비21 이병기	
055	풀벌레 소리 가득 차 있었다 1 이용악	
056	와사등 1 김광균	
057	그 먼 나라를 알으십니까	신석정
058	바다와 나비	김기림
059	교목 1 이육사 127 • • 천재（박） • • 비상（박안） 외 1 지학사 • 해냄 • 금성외 2 • • • e • • • « • • 비싱（박염） 창비 미래엔 지학사 지학사 천재 차례 5 문학고등 （S ； （쳐） 금성동마미래엔비상신사:a: ； 창 국어독서화법과 언어와 in. 광복 이후	~1950년대

## III. 광복 이후~1950년대
060	청노루	박목월
061	산도화	박목월
062	산이 날 에워싸고 - 남령에게	박목월
063	하관	박목월
064	꽃덤불	신석정
065	낙화	조지훈
066	시향	김상옥
067	상치쌈	조운
068	남신의주 유동 박시봉방	백석
069	파랑새	한하운
070	꽃	김춘수
071	눈	김수영
072	눈물	김현승
073	할머니 꽃싸를 받으시다	%수
074	즐거운 편지	황동규
075	구부정소나무	리진
076	공자의 생활난 1 김수영	
077	폭포 1 김수영	
078	나그네	박목월
079	불국사 1 박목월	
080	해 1 박두진	
081	청산도 1 박두진	
082	그리움	조지훈
083	견우의 노래 1 서정주	
084	플라타너스 1 김현승 169	V.

## IV. 1960~1980년대
085	사랑	김수영
086	어느 날 고궁을 나오면서	김수영
087	풀1김수영 178 •	
088	횽부부부상	박재삼
089	산에가면1박재삼 182 •	
090	낙화	이형기
091	껍데기는가라	산동엽
092	누가 하늘을 보았다 하는가	신동엽
093	아지랑이	이영도
094	아침 이미지 1	박남수
095	성북동 비둘기	김광섭
096	저녁에1김광섭 196 • 지학사	
097	샤갈의마을에내리는 눈	김춘수
098	묵화	김%
099	누군가나에게물었다	김종삼
100	울타리밖	박용래
101	거산호	I
102	농무1신경림 208 • • •	
103	목계장테신경림 210 천재（박）	
104	가난한 사랑노래-이웃의 한젊은이를 위하예 신경림 212 비상（박안）	
105	봄	이성부
106	외할머니의뒤안툇마루1서정주 216 비상（박영）	
107	신선 재곤이	서정주
108	저문 강에 삽을 씻고	정희성
109	슬픔이기쁨에게1정호승 222 • •미래엔	
110	앞날1이성복 224 •	
111	올여름의인생공부	최승자
112	납작납작 - 박수근 화법을 위하여	김혜순
113	〈꽃〉의 패러디	오규원
114	프란츠카프카	오규원
115	나는고양이로태어나리라	황인숙
116	섬진강11김용택 236 •	
117	공사장끝에	이시영
118	우리 동네 구자명 씨	고정희
119	라디오같이 사랑을 꼬고 켤 수 있다면 1 장정일 242 • • • •	
120	엄마 걱정	기형도
121	질투는 나의 힘	기형도
122	모닥불	안도현
123	추억에서	박재삼
124	울음이 타는 가을 강	박재삼
125	산에 언덕에	신동엽
126	봄은	신동엽
127	겨울 바다	김남조
128	꽃잎 1	김수영
129	숲	정희성
130	벼	이성부
131	생의 감각	김광섭
132	섬	!
133	조그만 사랑 노래	황동규
134	회미한 옛사랑의 그림자	김광규
135	귀천	천상병
136	해피 버스데이	오탁번
137	사평역에서	곽재구
138	새벽 편지 곽재구 259 지학사	
139	타는목마름으로	김지하
140	상한 영혼을 위하여	고정희
141	북어	최승호
142	사이	박덕규
143	돌할으방 어디 감수광	김광협
144	화가뭉크와 함께	이승하
145	우리가물이되어	!
146	유재필 씨	이시영
147	빈집	기형도

## V. 1990년대 이후
148	성에꽃	최두M
149	사과를 먹으며	힘민복
150	봄꽃	함민복
151	바퀴벌레는 진화중	김기택
152	우주인	김기택
153	풀벌레들의 작은 귀를 생각함	!
154	선운사에세최영미 282	>
155	봄눈오는밤	황인숙
156	귀뚜라미	나희덕
157	산속에세나희덕 288 •	
158	그 복숭아나무 곁으로 1 나희덕 290**•**	
159	오분간1나희덕 292 동아	
160	그 사람의 손을 보면	천양희
161	길을 찾아서 4 — 명암리 길	천양희
162	참 맑은 물살 - 회문산에서	곽재구
163	상처는 스승이다	정호숭
164	고래를위하여정호승 302 금성	
165	윤동주시집이든가방을들고1정호승 304 •**•**	
166	세한도	고재종
167	첫사랑	고재종
168	사는 일	나태주
169	세일에서 건진 고흐의 별빛	황동규
170	버팀목에대하예 복효근 314 •	
171	배를 매며	장석남
172	전라도젓갈	문병란
173	산수유나무의 농사	문태준
174	평상이있는국숫집1문태준 322 e	
175	모진 소리	황인숙
176	신의방1김선우 326 천재（박）	
177	깨끗한식사	김선우
178	흙	문정희
179	율포의 기억문정희	
180	의자1이정록 334 •	
181	원어	하종오
182	푸른곰팡이 - 산책시 1 1 이문재 338 •	
183	나도그들처럼	백무산
184	가을밤1오창렬 342 • 차례 9 천 천 금 동 문학 미 H	신
185	글로벌 블루스 2009	허수경
186	자동문앞에세유하	
187	별닦는 나무	공광규
188	다시느티나무가	신경림
189	택배 상자속의 어머니	박상률
190	서해	이성복
191	작은 연가	박정만
192	작은부엌 노래	문정희
193	대장간의유혹	김광규
194	들판이 적막하다	정현종
195	아픈 친구의 지구	정현종
196	수세미	이성복
197	이 사진 앞에서	이승하
198	산성 눈 내리네	이문재
199	멸치	김기택
200	눈물은왜짠가	함민복
201	못 위의 잠	나회덕
202	섶섬이 보이는 방 - 이중섭의 방에 와서	나희덕
203	긍정적인 밥	함민복
204	그샘	함민복
205	내가 사랑하는 사람	정호승
206	수선화에게	정호승
207	촉	나태주
208	풀꽃	나태주
209	강우	김춘수
210	힘내라, 네팔 - 외국인을 위한 한국어 초급반 1	한명회
211	단단한 고요	김선우
212	우포늪	홤동규
213	애기메꽃	홍성란
214	귀로 쓴 시	이승은
215	우리 동네 느티나무들	신경림
216	사이버공간 l=l영	
217	간격	안도현
218	천지꽃과백두산	석화
219	대추한알	장석주
220	쌀	정일근
221	신문지 밥상	정일근
222	지삿개에서	김수열
223	동승	하종오
224	신분	하종오
225	나는기쁘다	천양희
226	평화일기 41김승희	
227	형제	박현수
228	모든 첫 번째가 나를	김혜수
229	듣기	이해인
230	첫시^	용혜원
231	선풍기	이정록
232	차심	손택수
233	붉은꽃,횐꽃	김선향
234	등불	오봉옥

